NAME,MAX_HP,ATTACK,DEFENCE,SCORE,LOCATION(S),TATTLE
Goomba,1,1,0,100,"Lineland Road (1-1), Yold Desert (1-3), Gloam Valley (2-1), The Bitlands (3-1), Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 2, 5, 12, 14 (flipping) and 46 (flipping))","It's a Goomba, one of Bowser's minions... Max HP is 1 and Attack is 1. It really puts the ""under"" back in ""underlings""... It has no remarkable traits... They are pretty much the lowest of the low... But I hear Goombas do have their fans, so what can you do..."
Squiglet,2,1,0,100,"Lineland Road (1-1), Yold Desert (1-3), Yold Ruins (1-4), Flipside 1st Floor Outskirts, Flipside B2 Outskirts, Gloam Valley (2-1), Flipside Pit of 100 Trials (Rooms 1, 3, 8, 19, 27, 41 and 97)","This is a Squiglet... It's a small little creature that scurries around on its many legs... Max HP is 2 and Attack is 1. There isn't much else to say about Squiglets... When it spots an enemy, it gets excited and hops up and down..."
Koopa Troopa,1,1,1,100,"Lineland Road (1-1), Mount Lineland (1-2), Gloam Valley (2-1), The Bitlands (3-1), The Dotwood Tree (3-3), Castle Bleck Entry (8-1), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 11, 14, 16, 17, 19, and 28)","Normal: This is a Koopa Troopa. It may be slow, but it is well defended inside its shell... Max HP is 1, Attack is 1, and Defense is 1. If you leap on it, it'll pull its head and limbs in. You can then kick the shell. From what I hear, Goombas have a long-held fear of Koopa Troopas..."
Squig,4,1,0,200,"Lineland Road (1-1), Yold Desert (1-3), Yold Ruins (1-4), Flipside 1st Floor Outskirts, Flipside B2 Outskirts, Gloam Valley (2-1), Flopside 1st Floor Outskirts, Flopside B2 Outskirts, Overthere Stair (7-3), Flipside Pit of 100 Trials (Rooms 3, 7, 8, 18, 33, 35, 37, 44, 59)","It's a Squig... Think of these creatures as tougher Squiglets... Max HP is 4 and Attack is 1. They have a nasty habit of spitting rocks... Thankfully, the rocks are slow and easy to avoid..."
Sproing-Oing,4,1,0,100,"Lineland Road (1-1), Flipside B1 Outskirts, The Bitlands (3-1), Flipside Pit of 100 Trials (rooms 4, 7 and 24)","It's a Sproing-Oing... For some reason, this creature lives to hop endlessly... Max HP is 4 and Attack is 1. If you hurt it, it will split into many Mini-Sproings... I wonder if breaking up is hard to do, even for these creatures... But if you can do enough damage in one hit, you can beat them before they split..."
Mini-Sproing,1,1,0,100,"Lineland Road (1-1), Flipside B1 Outskirts, The Bitlands (3-1), Flipside Pit of 100 Trials (rooms 4, 7 and 24)","It's a Sproing-Oing... For some reason, this creature lives to hop endlessly... Max HP is 1 and Attack is 1. If you hurt it, it will split into many Mini-Sproings... I wonder if breaking up is hard to do, even for these creatures... But if you can do enough damage in one hit, you can beat them before they split..."
Zombie Shroom,1,2,0,300,"Lineland Road (1-1), Yold Desert (1-3), Merlee's Basement (2-4), The Bitlands (3-1), Planet Blobule (4-2), The Whoa Zone (4-4), Gap of Crag (5-2), Floro Caverns (5-3 and 5-4), Overthere Stair (7-3)","That's a Zombie Shroom. It is an evil shroom monster that comes out of ? Blocks... Max HP is 1. Attack is 2. It can move very fast in a limited area... But it has low HP, so you can take it out..."
Piranha Plant,2,1,0,100,"Lineland Road (1-1), Gloam Valley (2-1), The Bitlands (3-1), Floro Caverns (5-3)",This is a notorious Piranha Plant. It is a monstrous flower that lives in pipes... Max HP is 2 and Attack is 1. This strange weed will stay low if you cozy up to the side of its pipe...
Paragoomba,1,1,0,100,"Lineland Road (1-1), Gloam Valley (2-1), The Bitlands (3-1), Flipside Pit of 100 Trials (Rooms 12 and 26)","That's a Paragoomba. It is essentially a Goomba...with wings. A flying underling... Max HP is 1 and Attack is 1. Stomp it to turn it back into a Goomba... Then you can stomp it like a normal Goomba, I guess... Ahh...the life of a Goomba..."
Paratroopa,1,1,1,100,"Mount Lineland (1-2), Gloam Valley (2-1), The Bitlands (3-1), The Dotwood Tree (3-3), Flipside Pit of 100 Trials (Rooms 11 and 46)","Normal: This is a Paratroopa. It's like a Koopa Troopa, but it can fly... Its movement may vary slightly, depending on the color of its shell... Max HP is 1, Attack is 1, and Defense is 1. Stomp it to remove its wings... A Koopa without wings is a very sad Koopa..."
Spiny Tromp,N/A,1,N/A,1000,"Mount Lineland (1-2), Underwhere Road (7-2)","This Spiny Tromp loves to roll down hills and over unlucky pedestrians... You can't beat it... You can only avoid it... It rolls down the hill fast, but I know Mario can find a way to avoid it..."
Thwomp,N/A,1,N/A,N/A,Mount Lineland (1-2),"That's a Thwomp, a huge stone monster that lives to squish... You can't beat it... You can only avoid it... It may look impossible to avoid, but I'm sure Mario could find a way..."
Bald Cleft,2,1,2,200,"Yold Desert (1-3), Flipside Pit of 100 Trials (Rooms 13, 34 and 71)","That's a Bald Cleft. You might confuse this rock-hard foe with a rock... Max HP is 2, Attack is 1, Defense is 2. Flames won't scorch this foe... Set off an explosion near it to flip it over. Then it'll be vulnerable to attack..."
Boomboxer,4,2,0,200,"Yold Desert (1-3), Flipside Pit of 100 Trials (Rooms 15 and 76)",This Boomboxer blasts cones of pure sound at anyone it doesn't like... Max HP is 4 and Attack is 2. It gets startled by its own loud noises... What would drive a music lover to listen to anything that loud...
Jawbus,5,1,0,400,"Yold Desert (1-3), Gloam Valley (2-1), Flipside Pit of 100 Trials (Room 72)","This dragonlike monster is a Jawbus. They tend to bite anything near them... Max HP is 5 and Attack is 1. Its only weakness is the glowing spot on its back... It won't look behind, so try flipping 3-D and sneaking behind it..."
Cherbil,5,2,0,400,"Yold Desert (1-3), Gloam Valley (2-1), Gap of Crag (5-2), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 6, 23, 47 and 83)","That's a Cherbil. It's a nasty gasbag that spews a plume of sleepy gas... Max HP is 5. Attack is 2. That gas will put you to sleep, so don't go sniffing it... Some say the gas comes from their mouths. Some say it comes from elsewhere... ...Oh, dear..."
Ice Cherbil,5,2,0,400,"Yold Desert (1-3), Merlee's Basement (2-4), Planet Blobule (4-2), Overthere Stair (7-3), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 47 and 57)","That's an Ice Cherbil. It's a nasty gasbag that spews a plume of freezy gas... Max HP is 5. Attack is 2. That gas will freeze you, so don't go sniffing it... Some say the gas come from their mouths. Some say it comes from elsewhere...... Oh, dear..."
Spiked Goomba,1,2,0,100,"Yold Desert (1-3), Gloam Valley (2-1), The Bitlands (3-1), The Tile Pool (3-2), Flipside Pit of 100 Trials (Rooms 12 and 38)",It's a Spiked Goomba. Look at that spiky hat! Max HP is 1. Attack is 2. That spiky hat makes stomping it or picking it up a very bad idea... I would recommend throwing something at it... Or you could just walk on by...
Megabite,4,1,?? (Reduces all damage to 1),800,"Yold Desert (1-3), Yold Ruins (1-4), Gloam Valley (2-1), Merlee's Mansion (2-2), The Bitlands (3-1), Fort Francis (3-4), Planet Blobule (4-2), Downtown of Crag (5-1), Gap of Crag (5-2), The Overthere (7-4)","That's a Megabite. It's an evil skull that soars through the skies... Max HP is 4 and Attack is 1. It will only take 1 damage per attack... It will eventually fly off, so don’t worry about defeating it every time... No one knows where they come from or where they go..."
O'Chunks (1),20,1,0,1000,Yold Desert (1-3),"That's O'Chunks. He's a big, bearded warrior of a man... Max HP is 20 and Attack is 1. He can grab you by the feet and hurl you... If you're in reach, he'll toss you, so keep your distance... But you can turn the tables on him and use Thoreau to send him flying..."
Buzzy Beetle,1,1,3,200,"Yold Ruins (1-4), Floro Caverns (5-3), Flipside Pit of 100 Trials (Rooms 18, 37 and 51)","This is a Buzzy Beetle... It's much tougher than it looks... Max HP is 1, Attack is 1, and Defense is 3. Even flames won't scorch its hard shell... Sometimes, they cling to the ceiling and drop down on your head when you walk by... Not very friendly, Buzzy... Shame on you..."
Spiky Tromp,N/A,1,N/A,N/A,Yold Ruins (1-4),"It's a Spiky Tromp. For some reason, it enjoys rolling left and right all day...You can't beat it... You can only avoid it... It will move until it hits a wall, then it will come right back at you..."
Fracktail,?? (9 hits),1,0,1000,Yold Ruins (1-4),"That's Fracktail, the robotic guardian of the Pure Heart. It's quite enormous... Max HP is ??, Attack is 1. It can fly and swoop down with its big open mouth... But I think the antenna-like horn atop its head is its weak spot... I think you're going to need to use Thoreau to hit it..."
Frackle,1,1,0,0,Yold Ruins (1-4),"That's a Frackle. These little defense bots protect Fracktail's body... Max HP is 1. Attack is 1. They will attack any intruder they find on their master. They must have been made by the Ancients, just like Fracktail..."
Cheep Cheep,2,1,0,200,"Gloam Valley (2-1), The Tile Pool (3-2), Gap of Crag (5-2)","That's a Cheep Cheep. Like most fish, it lives entirely underwater... Max HP is 2. Attack is 1. It swims along lazily minding its own fishy business... No important characteristics of note... It's a fish..."
Growmeba,2,1,0,200,"Gloam Valley (2-1), Merlee's Basement (2-4), Flipside Pit of 100 Trials (Rooms 33 and 65)","That troublesome creature is a Growmeba. It can clone itself over and over again... Max HP is 2 and Attack is 1. If you defeat the main one, the clones will die... The primary one has slightly different moves and looks, so watch closely... If you don't want to bother, you could defeat them all with an item..."
Swooper,3,1,0,200,"Gloam Valley (2-1), Merlee's Mansion (2-2), Merlee's Basement (2-4)","That beast is a Swooper. It likes to dangle from the ceiling in dark, dank places... Max HP is 3 and Attack is 1. Watch your head; it will swoop down on you... It will swoop back up after it swoops down, so jump on it when you can..."
Shlurp,?? (1 hit),1,??,300,"Gloam Valley (2-1), Merlee's Mansion (2-2), Merlee's Basement (2-4), Flipside Pit of 100 Trials (Rooms 13 and 15)","That bizarre creature is a Shlurp. It has tough skin and an appetite for everything... Max HP is ??, attack is 2, and Defense is ??. No attack will work... But Shlurps are just as fragile inside as they are tough on the outside... Maybe you should try feeding it something that would give it indigestion..."
Boo,4,1,0,300,"Merlee's Mansion (2-2), Merlee's Basement (2-4), Flipside Pit of 100 Trials (Room 22)","That bashful specter is a Boo. It's very fond of dark places... Max HP is 4 and Attack is 1. It will disappear if you stare at it too long... But it will reappear and chase after you the moment you turn your back on it... To outfox it, let it approach with your back turned, then attack or use an item..."
Mister I,??,2,??,800,"Merlee's Basement (2-4), Castle Bleck Entry (8-1)",It's a Mister I. These bizarre foes can't help but give you the evil eye... Max HP is ??. Attack is 2. It will shoot sharp glances at any enemy it spots... None of your attacks will work... Try flipping and spinning around and around it...
Cursya,1,1,0,400,"Merlee's Basement (2-4), Floro Caverns (5-4), Overthere Stair (7-3), The Overthere (7-4), Castle Bleck Foyer (8-2), Castle Bleck Interior (8-3), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 33, 44, 61, 73, 93)","That's... a Cursya! This spiteful, evil monster curses everything it touches... Max HP is 1 and Attack is 1. This Cursya's curse slows you down temporarily... You should throw something at it or use an item... Jumping on it would be a bad idea..."
Atomic Boo,10,2,0,800,Merlee's Basement (2-4),"That's an Atomic Boo. That is one enormous Boo... Max HP is 10. Attack is 2. It will follow you until you turn around, then it just disappears... It has a lot of HP, so you may want to use an item when your back is turned... Some say this Boo is a huge, massive ball of many smaller Boos..."
Mimi (1),?? (6 hits),1,0,2000,Merlee's Basement (2-4),That's Mimi. She's a slightly childish shape-shifter that works for Count Bleck... Max HP is ?? and Attack is 1. Just go for the head when you attack... She will briefly stop when she gets hit... That is when you should go on the attack... She might also hang from the ceiling and throw Rubees at you...
Magikoopa,6,3,0,400,"The Bitlands (3-1), Castle Bleck Entry (8-1), Flipside Pit of 100 Trials (Rooms 38, 48 and 86)","This Magikoopa serves on Bowser's wizarding task force... Max HP is 6 and Attack is 3. Magikoopas ride on brooms and fling dangerous spells... They study for years to learn magic. Sadly, they take no classes on defense..."
Back Cursya,1,1,0,400,"The Bitlands (3-1), Downtown of Crag (5-1)","That's a Back Cursya. It is a vile monster that curses everything it touches... Max HP is 1 and Attack is 1. It will send you back to where you came from... In our case, one touch, and we would be sent straight back to Flipside..."
Blomeba,5,2,0,300,"The Bitlands (3-1), Floro Caverns (5-4), Flipside Pit of 100 Trials (Rooms 64 and 78)","That's a Blomeba. It clones itself constantly to annoy its enemies... Max HP is 5 and Attack is 2. If you defeat the main one, the clones will die... The primary one has slightly different moves and looks, so watch closely..."
Mega Koopa,1,2,0,1000,The Bitlands (3-1),"That's a Mega Koopa... Enemies don't get any bigger or more pixelated than this... Max HP is 1, Attack is 2, and Defense is 1. It's probably best if you avoid it, unless you can match its size... How did a Koopa Troopa grow to be so big...?"
Gloomba,2,2,0,200,"The Bitlands (3-1), Castle Bleck Foyer (8-2), Flipside Pit of 100 Trials (Rooms 5, 9, and 22)","This is a Gloomba, a Goomba that lives its entire life underground... Max HP is 2 and Attack is 2. It doesn't see a lot of sun, so it's a little pale... But it is stronger than your average Goomba...and has a very dark personality... It must be hard to be a pale, friendless Goomba that lives underground..."
Koopa Striker,8,2,1,300,"The Bitlands (3-1), Flipside Pit of 100 Trials (Room 43)","It's a Koopa Striker. It takes good shell control to make the Koopa Striker team... Max HP is 8. Attack is 2. Defense is 1. It can kick shells all day... It's very proud of its strong and accurate kicks...and its shiny shell! ""An eye for an eye, a shell for a shell!"" Try to trap its shell and send it back..."
Toopa Striker,8,2,1,300,The Bitlands (3-1),"This is a Toopa Striker. These Koopas display brilliant teamwork... Max HP is 8, Attack is 2, and Defense is 1. They always go for the assist... They spend all their time together just to build their team chemistry..."
Bill Blaster,5,2,3,500,The Bitlands (3-1),"This cannon is called a Bill Blaster. They shoot Bullet Bills at you... Max HP is 5, Attack is 2, Defense is 3. They are also immune to flames... Don't approach them straight on, or you'll get shot. Attack from above..."
Bullet Bill,1,2,0,100,The Bitlands (3-1),"That's a Bullet Bill. They get shot out of Bill Blasters... Max HP is 1 and Attack is 2. They just fly straight... You can defeat them, but the Blaster will just keep shooting them at you..."
Hammer Bro,4,1,1,500,"The Bitlands (3-1), Castle Bleck Foyer (8-2), Flipside Pit of 100 Trials (Rooms 28 and 68 (flipping))","This is a Hammer Bro... They have an unhealthy hammer obsession... Max HP is 4. Attack is 1. Defense is 1. You could always try catching a hammer and throwing it back... Where does it keep all those hammers, anyway... It's a mystery..."
Bowser (1),20,2,1,2000,The Bitlands (3-1),N/A
Blooper,1,2,0,300,The Tile Pool (3-2),That's a Blooper. This squiddy foe happily bobs up and down in the ocean... Max HP is 1 and Attack is 2. It will try to eat you if it sees you... But I hear that it won't try to attack you if you stand on the bottom of the ocean.
Bittacuda,10,2,0,400,The Tile Pool (3-2),"That fish is a Bittacuda. It's a carnivorous beast with vicelike jaws... Max HP is 10 and Attack is 2. It will try to eat anything that swims by... If you insist on fighting this fish, I would suggest flipping dimensions... I do hear these voracious sea beasts are quite tasty..."
Big Blooper,?? (3 hits),2,0,0,The Tile Pool (3-2),"That's Big Blooper, a titanic squid that lurks under the waves of the Tile Pool... Max HP is ??. Attack is 2. This many-tentacled sea beast clobbers its prey... But that red tentacle is its weak spot... Try attacking it..."
Poison Cherbil,5,2,0,400,"The Dotwood Tree (3-3), The Underwhere (7-1), Castle Bleck Foyer (8-2), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Rooms 9 and 47)","That's a Poison Cherbil. It's a nasty gasbag that spews a plume of poison gas... Max HP is 5. Attack is 2. That gas will poison you, so don't go sniffing it... Some say the gas comes from their mouths. Some say it comes from elsewhere... ...Oh, dear..."
Tileoid B,10,1,0,300,"The Dotwood Tree (3-3), Flipside Pit of 100 Trials (Rooms 31, 45 and 53)",That's a Tileoid B. It is a mysterious creature that's made of many small parts... Max HP is 10 and Attack is 1. It can also crawl along walls and ceilings... Tileoids vary in color and ability. This blue Tileoid is known for its curses...
Tileoid G,5,1,0,300,"The Dotwood Tree (3-3), Flipside Pit of 100 Trials (Rooms 16, 31, and 39)",That's a Tileoid G. It is a mysterious creature that's made of many small parts... Max HP is 5 and Attack is 1. It can also crawl along walls and ceilings... Tileoids vary in color and ability. This green Tileoid is known for its speed...
Crazee Dayzee,10,2,0,500,"The Dotwood Tree (3-3), Flipside Pit of 100 Trials (Rooms 26 and 58)","This is a Crazee Dayzee. It's a curious little flower that won't stop humming... Max HP is 10 and Attack is 2. Watch out, that little song it hums can put you right to sleep..."
Chain Chomp,4,1,4,500,"The Dotwood Tree (3-3), Fort Francis (3-4), Flipside Pit of 100 Trials (Room 25)","That snarling, tethered iron ball is a Chain Chomp... Max HP is 4, Attack is 1, Defense is 4. Even flames can't hurt this beast... Its strong Defense protects it from most attacks. Try using items and Pixls..."
Dimentio (1),30,2,0,1000,The Dotwood Tree (3-3),"That's Dimentio. He's a weird dimensional magician who works for Count Bleck... Max HP is 30 and Attack is 2. Dimentio can flip between dimensions... He can also clone himself. Attacking his double won't do anything to him... Hit the real one, and the double will disappear. Then, he can't clone again for a while..."
Dimentio (copy) (1),??,2,??,??,"The Dotwood Tree (3-3), Castle Bleck Interior (8-3)","That's Dimentio... A magician who works for Count Bleck... He's like an evil clown... He'll use many magic tricks, including making doubles of himself... It's hard to get a read on this suspicious character..."
Lakitu,4,1,0,400,"The Dotwood Tree (3-3), Overthere Stair (7-3)","Normal: That's a Lakitu. They're odd creatures that drive around in clouds... Max HP is 4 and Attack is 1. It'll throw Spinys at you, so keep moving... It doesn't change altitude, so if you sneak up on it while dodging Spinys... You can stomp it, hop in the cloud and find out where it keeps all those Spinys..."
Spiny,4,2,3,400,"The Dotwood Tree (3-3), Overthere Stair (7-3), Flipside Pit of 100 Trials (Rooms 21 and 51)","Normal: That's a Spiny... As its name suggests, it is covered with unpleasant, pointy ends... Max HP is 4, Attack is 2, and Defense is 3. Don't bother trying to stomp it... Whatever you do, don't get surrounded by these beasts... Before they hit the ground, they roll into balls. They must train for midair deployment..."
PatrolMeow,5,2,1 (2 against fire),300,Fort Francis (3-4),"That's a PatrolMeow. These security bots patrol Fort Francis day and night... Max HP is 5. Attack is 2. Defense is 1. Defense against fire is 2. They look cute, but if they spot you, they'll go into battle mode... I think Francis bought these robots on the Internet and customized them himself..."
SurpriseMeow,1,2,??,500,Fort Francis (3-4),"This is a SurpriseMeow. Francis created this security bot to patrol the castle. Max HP is 1 and Attack is 2. It is heavily armored, so don't bother attacking it... If you want to beat it, throw something in its open mouth that can damage it..."
Meowbomb,1,2,1,50,"Fort Francis (3-4), Castle Bleck Foyer (8-2)","This Meowbomb is a cat-shaped robot programmed to explode on contact... Max HP is 1, Attack is 2, and Defense is 1. Meowbomb was created with one mission: snuggle and destroy..."
AirMeow,5,2,1 (2 against fire),300,Fort Francis (3-4),That's an AirMeow. These security bots patrol the skies around Fort Francis... Max HP is 5. Attack is 2. Defense is 1. Defense against fire is 2. They will attack any invader they see... I think Francis bought these robots on the Internet and customized them himself...
BigMeow,N/A,2,N/A,N/A,Fort Francis (3-4),"That's a BigMeow. It's a robot made to attend to certain sensitive rooms... They were designed for centuries of service, so they do not take any damage... But they can hit you, so do be careful..."
Francis,40,1,0,3000,"Fort Francis (3-4), Castle Bleck Foyer (8-2)","That geeky chameleon is Francis. He's a little obsessive about his hobbies... Max HP is 40. Attack is 1. He can also make himself invisible... You can't hit what you can't see, so wait for him to reappear... But he is still there. Look at the floor and find his shadow... Yech... Just looking at him brings back bad memories..."
Jellien,4,2,0,200,"Outer Space (4-1), Outer Limits (4-3)","That's a Jellien. It is a strange, gelatinous creature that floats about in space... Max HP is 4 and Attack is 2. It drifts lazily towards potential morsels... It moves slowly, so watch it carefully and you should be able to avoid it..."
Foton,8,2,0,300,"Outer Space (4-1), Outer Limits (4-3)","That Foton is a space organism that is orbited by small blue particles... Max HP is 8 and Attack is 2. When it senses danger, it... Well, it shouldn't be much of a problem unless you're surrounded by them..."
Warpid,10,2,0,500,"Outer Space (4-1), Outer Limits (4-3)","That's a Warpid, a being of pure energy that can warp through space... Max HP is 10 and Attack is 2. It will pursue any new discovery... Don't allow yourself to be mesmerized by its slowly undulating lines..."
Longator,12,1,0,400,"Planet Blobule (4-2), Flipside Pit of 100 Trials (Rooms 32 and 67)","That thing is a Longator. It can stretch beyond the limits of imagination... Max HP is 12 and Attack is 1. It likes to stretch its neck at enemies... Watch where you land near them. They look relaxed, but they can get aggressive..."
Choppa,5,1,0,400,"Planet Blobule (4-2), Flipside Pit of 100 Trials (Room 35)","That Choppa is a strange organism that flies through the air...and dimensions... Max HP is 5 and Attack is 1. It's hard to track, as it occasionally flips... However, it occasionally stops to rest. That's your chance..."
Boing-Oing,8,2,0,200,"Planet Blobule (4-2), Flipside Pit of 100 Trials (Room 24)","This is a Boing-Oing... It's a stronger relative of the Sproing-Oing... Max HP is 8 and Attack is 2. If you hurt it, it will split into multiple Mini-Boings... If you don't time your jump perfectly, you'll get hurt... I wonder how it got so many pretty colors..."
Mini-Boing,2,1,0,200,"Planet Blobule (4-2), Flipside Pit of 100 Trials (Room 24)","This is a Boing-Oing... It's a stronger relative of the Sproing-Oing... Max HP is 2 and Attack is 1. If you hurt it, it will split into multiple Mini-Boings... If you don't time your jump perfectly, you'll get hurt... I wonder how it got so many pretty colors..."
Beepboxer,10,4,0,400,"Planet Blobule (4-2), Overthere Stair (7-3), Flipside Pit of 100 Trials (Rooms 61 and 76)",This Beepboxer blasts blaring sounds at anyone it doesn't like... Max HP is 10 and Attack is 4. It gets startled by its own loud noises... Maybe it's mad because people keep interrupting its music-listening time...
Hooligon,10,2,0,600,"Planet Blobule (4-2), Whoa Zone (4-4), Castle Bleck Inner Sanctum (8-4), Flipside Pit of 100 Trials (Room 55)",That's a Hooligon. They are space creatures that are made up of many parts... Max HP is 10 and Attack is 2. It loses pieces of itself as it takes damage... The head is the weak spot... You have to hit it there to defeat it...
